tolerance,policy,global_normalized_choi_error,minimum_step_choi_eigenvalue,accepted_steps,rejected_error,rejected_cp,guard_evaluations,candidate_certifications,component_searches,fallback_steps,precision_escalations,pi_memory_resets,rhs_stage_evaluations,exponential_actions
0.01,error_only,0.004327611992433297,-0.0034913536821074877,3,2,0,0,0,0,0,0,0,60,0
0.01,candidate_guard,3.658345047886634e-05,-8.670664252587616e-28,3,2,3,3,3,0,3,0,3,96,0
0.01,rotating_frame,0.00034661010309696815,-1.110223024625442e-16,2,0,0,0,0,0,0,0,0,24,0
0.01,strang,1.361445633439131e-16,-4.078597056274039e-17,2,0,0,0,0,0,0,0,0,0,18
0.003,error_only,0.0016440166243959025,-0.0013738774796713147,3,2,0,0,0,0,0,0,0,60,0
0.003,candidate_guard,9.663034159450214e-06,-1.954725904983914e-27,4,3,4,4,4,0,4,0,4,132,0
0.003,rotating_frame,0.00034661010309696815,-1.110223024625442e-16,2,0,0,0,0,0,0,0,0,24,0
0.003,strang,1.361445633439131e-16,-4.078597056274039e-17,2,0,0,0,0,0,0,0,0,0,18
0.001,error_only,0.0007916873687284027,-0.0010013590925761484,4,2,0,0,0,0,0,0,0,72,0
0.001,candidate_guard,3.2520307786716624e-06,-9.009175847279732e-27,5,4,5,5,5,0,5,0,5,168,0
0.001,rotating_frame,0.00012689042260568406,-2.0952126026694153e-29,2,1,0,0,0,0,0,0,0,36,0
0.001,strang,1.361445633439131e-16,-4.078597056274039e-17,2,0,0,0,0,0,0,0,0,0,18
0.0003,error_only,0.0002358569229669584,-0.00026370286501248286,5,3,0,0,0,0,0,0,0,96,0
0.0003,candidate_guard,8.450201908455775e-07,-1.110223025021878e-16,7,6,7,7,7,0,7,0,7,240,0
0.0003,rotating_frame,6.019302489936616e-05,-6.386394483663826e-29,3,2,0,0,0,0,0,0,0,60,0
0.0003,strang,1.361445633439131e-16,-4.078597056274039e-17,2,0,0,0,0,0,0,0,0,0,18
