x,exact_margin,binary64_margin,scaled_sign
1e-12,-5.7552083333264345e-61,1.1102230246251565e-16,-4991.999999994016
1e-11,-5.755208333264345e-56,0.0,-4991.99999994016
1e-10,-5.755208332643446e-51,0.0,-4991.9999994016
1e-09,-5.7552083264344615e-46,1.1102230246251565e-16,-4991.999994016
1e-08,-5.755208264344617e-41,-1.1102230246251565e-16,-4991.99994016
1e-07,-5.7552076434461276e-36,1.1102230246251565e-16,-4991.999401599954
1e-06,-5.7552014344564744e-31,-3.3306690738754696e-16,-4991.994015995376
1e-05,-5.755139344084966e-26,0.0,-4991.940159537605
0.0001,-5.754518392876758e-21,1.1102230246251565e-16,-4991.401553764913
0.001,-5.748304136523505e-16,-5.551115123125783e-16,-4986.011380913
0.01,-5.685692187567817e-11,-5.6856741537103517e-11,-4931.702513
0.1,-5.0176758490668404e-06,-5.017675848706382e-06,-4352.273
