scenario,scenario_role,tolerance,policy,controller_policy,theta,kappa,varpi,final_time,initial_h,global_normalized_choi_error,minimum_step_choi_eigenvalue,wall_time_seconds,accepted_steps,direct_accepts,projected_accepts,rotating_accepts,strang_accepts,exact_fallback_accepts,rejected_error,rejected_cp,guard_evaluations,locator_calls,successful_projections,empty_component_outcomes,uncertain_outcomes,root_isolation_ops,certification_ops,binary_recertifications,precision_escalations,fallback_events,pi_memory_resets,rhs_stage_evaluations,exponential_actions,candidate_certifications,component_searches,fallback_steps
boundary_tolerance_sweep,boundary safety/fallback comparison,0.01,error_only,error_only,0.0,0.0,2.0,2.0,1.4,0.004327611992433297,-0.0034913536821074877,0.4239207000009628,3,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,60,0,15,0,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.01,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,6.091722947231542e-05,-3.7106479125533523e-25,0.9841307000006054,3,0,0,3,0,0,1,3,3,3,0,3,0,9,21,0,0,3,1,84,0,21,3,3
boundary_tolerance_sweep,boundary safety/fallback comparison,0.01,rotating_frame,rotating_frame,0.0,0.0,2.0,2.0,1.4,0.00034661010309685605,0.0,0.08245829999941634,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24,0,4,0,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.01,strang,strang,0.0,0.0,2.0,2.0,1.4,8.326672684688674e-17,-6.501617097462554e-17,0.27389580000090064,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,4,0,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.003,error_only,error_only,0.0,0.0,2.0,2.0,1.4,0.0016440166243959025,-0.0013738774796710485,0.3610638000009203,3,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,60,0,15,0,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.003,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,1.9018391371184816e-05,0.0,0.9447034000004351,3,0,0,3,0,0,1,3,3,3,0,3,0,9,21,0,0,3,1,84,0,21,3,3
boundary_tolerance_sweep,boundary safety/fallback comparison,0.003,rotating_frame,rotating_frame,0.0,0.0,2.0,2.0,1.4,0.00034661010309685605,0.0,0.07472079999934067,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24,0,4,0,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.003,strang,strang,0.0,0.0,2.0,2.0,1.4,8.326672684688674e-17,-6.501617097462554e-17,0.23488970000107656,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,4,0,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,error_only,error_only,0.0,0.0,2.0,2.0,1.4,0.0007916873687284025,-0.0010013590925763843,0.4430324000004475,4,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,72,0,18,0,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,7.45395262105539e-06,-1.1102230250602865e-16,1.4794085999983508,4,0,0,4,0,0,3,4,4,4,0,4,0,12,33,0,0,4,2,132,0,33,4,4
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,rotating_frame,rotating_frame,0.0,0.0,2.0,2.0,1.4,0.00012689042260567086,-8.481533182316791e-30,0.11984140000095067,2,0,0,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,36,0,6,0,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,strang,strang,0.0,0.0,2.0,2.0,1.4,8.326672684688674e-17,-6.501617097462554e-17,0.29999169999973674,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,4,0,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.0003,error_only,error_only,0.0,0.0,2.0,2.0,1.4,0.0002358569229669584,-0.00026370286501248286,0.7073527000011381,5,0,0,0,0,0,3,0,0,0,0,0,0,0,24,0,0,0,0,96,0,24,0,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.0003,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,2.2182298373491274e-06,-3.562653249242374e-27,1.9909117000006518,5,0,0,5,0,0,4,5,5,5,0,5,0,15,42,0,0,5,2,168,0,42,5,5
boundary_tolerance_sweep,boundary safety/fallback comparison,0.0003,rotating_frame,rotating_frame,0.0,0.0,2.0,2.0,1.4,6.019302489924499e-05,-2.3167910730292682e-29,0.16763230000105978,3,0,0,3,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,60,0,10,0,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.0003,strang,strang,0.0,0.0,2.0,2.0,1.4,8.326672684688674e-17,-6.501617097462554e-17,0.277542200001335,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,4,0,0
