case,theta,kappa,varpi,root_index,lower,upper,approximation,multiplicity
dephasing_1e-3,0,1/1000,2,1,16263303/64193312,106369964/419855689,0.253348869115835637,1
dephasing_1e-3,0,1/1000,2,2,5838454/7882389,2263856553/3056390954,0.740695999651882210,1
dephasing_1e-3,0,1/1000,2,3,1767907442/1392554521,50534611/39805365,1.26954271113956623,1
thermal_1e-3,1/1000,0,2,1,6639776/54304699,867450963/7094616361,0.122268903470029363,1
thermal_1e-3,1/1000,0,2,2,24999058/33666121,272400603/366840689,0.742558312554036189,1
thermal_1e-3,1/1000,0,2,3,284863436/224205815,230054247/181067464,1.27054437013598422,1
combined_1e-3,1/1000,1/1000,2,1,24405041/93137162,36911375/140865189,0.262033333160827936,1
combined_1e-3,1/1000,1/1000,2,2,112526321/152399393,142148437/192517940,0.738364627213443052,1
combined_1e-3,1/1000,1/1000,2,3,243338270/191642123,265372997/208995669,1.26975357082638874,1
dephasing_1e-2,0,1/100,2,1,413683143/796604267,22295789/42933634,0.519308218819771915,1
dephasing_1e-2,0,1/100,2,2,148800285/218303356,143091916/209928667,0.681621610068147566,1
dephasing_1e-2,0,1/100,2,3,174327221/138105016,245271944/194308643,1.26228015498003347,1
thermal_1e-2,1/100,0,2,1,62418959/225395937,54102665/195365656,0.276930275810606127,1
thermal_1e-2,1/100,0,2,2,132465777/183751372,48992893/67961035,0.720896805058957641,1
thermal_1e-2,1/100,0,2,3,446907221/351234080,478886309/376367139,1.27239139493525230,1
