x,exact_margin,binary64_margin,scaled_sign_polynomial_minus_C
1/10,-0.000005017675849066840277777777778,-5.017675848706382e-06,-4352.2730000000000000
1/100,-5.685692187567816840277777778e-11,-5.6856741537103517e-11,-4931.7025130000000000
1/1000,-5.748304136523505316840277778e-16,-5.551115123125783e-16,-4986.0113809130000000
1/10000,-5.754518392876757880316840278e-21,1.1102230246251565e-16,-4991.4015537649130000
1/100000,-5.755139344084966601630316840e-26,0.0,-4991.9401595376049130
1/1000000,-5.755201434456474615039130317e-31,-3.3306690738754696e-16,-4991.9940159953760049
1/10000000,-5.755207643446127246099414130e-36,1.1102230246251565e-16,-4991.9994015999537600
1/100000000,-5.755208264344617522460943164e-41,-1.1102230246251565e-16,-4991.9999401599995376
1/1000000000,-5.755208326434461800224609381e-46,1.1102230246251565e-16,-4991.9999940159999954
1/10000000000,-5.755208332643446180502246094e-51,0.0,-4991.9999994016000000
1/100000000000,-5.755208333264344618055022461e-56,0.0,-4991.9999999401600000
1/1000000000000,-5.755208333326434461805550225e-61,1.1102230246251565e-16,-4991.9999999940160000
