method,N,h,global_normalized_choi_error,minimum_step_choi_eigenvalue,rhs_stage_evaluations,exponential_actions,wall_time_seconds
direct_RK4,1,1.0,0.1406762781688718,0.0006255150473437229,4,0,0.0001050060000125086
CPTP_Strang,1,1.0,0.002802062305564376,0.0006321205588285677,0,3,0.027907541999866226
direct_RK4,2,0.5,0.007310690030068923,-0.002777776589095122,8,0,2.143099982276908e-05
CPTP_Strang,2,0.5,0.0006498824510754746,0.0003934693402874644,0,6,0.026412343999709265
direct_RK4,4,0.25,0.0004130999827116398,4.269995544343409e-05,16,0,2.4685999960638583e-05
CPTP_Strang,4,0.25,0.00015947596230333274,0.00022119921692853839,0,12,0.028383238000060373
direct_RK4,8,0.125,2.452644517173095e-05,0.0001171830920660855,32,0,2.3034999685478397e-05
CPTP_Strang,8,0.125,3.968448455546067e-05,0.00011750309741552061,0,24,0.025934229000085907
direct_RK4,16,0.0625,1.4936485876922937e-06,6.058657171972651e-05,64,0,2.360500002396293e-05
CPTP_Strang,16,0.0625,9.909631028714577e-06,6.058693718660172e-05,0,48,0.026879496999754338
direct_RK4,32,0.03125,9.214152985595082e-08,3.0766755282738665e-05,128,0,2.6879999950324418e-05
CPTP_Strang,32,0.03125,2.4766902737724603e-06,3.076676552366902e-05,0,96,0.03067909499986854
