method,N,lambda_minus_exact,lambda_minus_asymptotic
FE,4,-0.0203497613438591809868051048648,-0.0168088388356246950468025473861
FE,5,-0.0156318431988186513863173752300,-0.0134470710684997560374420379089
FE,6,-0.0126876180633295302850476127580,-0.0112058925570831300312016982574
FE,7,-0.0106757838120351086346896317710,-0.00960505076321411145531574136351
FE,8,-0.00921422341515704138114998969220,-0.00840441941781234752340127369307
FE,9,-0.00810444093259240007733828246687,-0.00747059503805542002080113217162
FE,10,-0.00723312827861621628752009085162,-0.00672353553424987801872101895445
FE,11,-0.00653090612463469507673357390508,-0.00611230503113625274429183541314
FE,12,-0.00595292161370960353512793772296,-0.00560294627854156501560084912871
FE,13,-0.00546889281323701128591892324819,-0.00517195041096144462978539919573
FE,14,-0.00505763744676221775809924983363,-0.00480252538160705572765787068175
FE,15,-0.00470389431270328298126608494797,-0.00448235702283325201248067930297
FE,16,-0.00439638986307434255009001016420,-0.00420220970890617376170063684653
FE,18,-0.00388803043653384954676823642945,-0.00373529751902771001040056608581
FE,19,-0.00367552141152721970516342931543,-0.00353870291276309369406369418655
FE,20,-0.00348503574977601085982123838720,-0.00336176776712493900936050947723
FE,22,-0.00315772747963923569021480106426,-0.00305615251556812637214591770657
FE,23,-0.00301609208907791250772562240169,-0.00292327631923907739944392128455
FE,25,-0.00276779742252171915587521659406,-0.00268941421369995120748840758178
FE,26,-0.00265837312242292513176299682386,-0.00258597520548072231489269959787
FE,28,-0.00246357722873735541618455771991,-0.00240126269080352786382893534088
FE,30,-0.00229537847584549543639223532472,-0.00224117851141662600624033965148
FE,32,-0.00214867795289246145185849109479,-0.00210110485445308688085031842327
FE,35,-0.00196070924404991546540901486704,-0.00192101015264282229106314827270
FE,37,-0.00185265999955541291732289209908,-0.00181717176601348054560027539310
FE,39,-0.00175589694777716678796255057180,-0.00172398347032048154326179973191
FE,42,-0.00162832688662637152695512046837,-0.00160084179386901857588595689392
FE,45,-0.00151803736508410065296894862667,-0.00149411900761108400416022643432
FE,48,-0.00142173997835073899097566589195,-0.00140073656963539125390021228218
FE,51,-0.00133693089430544108901489921754,-0.00131834030083330941543549391264
FE,55,-0.00123843135820209142806950139404,-0.00122246100622725054885836708263
FE,59,-0.00115344971736743247693652040365,-0.00113958229394065729130864728042
FE,63,-0.00107938194093793452167834000798,-0.00106722786257934571725730459595
FE,67,-0.00101425247361080907430403012780,-0.00100351276630595194309268939619
FE,72,-0.000943118144594136735806962752744,-0.000933824379756927502600141521452
FE,77,-0.000881307761110423819844941285687,-0.000873186433019464677755976487591
FE,82,-0.000827100885165343301585628267710,-0.000819943357835350977892807189568
FE,87,-0.000779175820175572778205535271364,-0.000772820176350560691807013672926
FE,93,-0.000728520216252040507573878886871,-0.000722960810134395485883980532737
FE,100,-0.000677159595619648773718417865710,-0.000672353553424987801872101895445
FE,107,-0.000632563854786633297416312847554,-0.000628367806939240936329067192005
FE,114,-0.000593479043116307528170810989078,-0.000589783818793848949010615697759
FE,122,-0.000554334791881922897130608579387,-0.000551109470020481804813198274955
FE,130,-0.000520034709929240792639969199163,-0.000517195041096144462978539919573
FE,139,-0.000486190658378798286386147834400,-0.000483707592392077555303670428378
FE,148,-0.000456482590656797986521017256754,-0.000454292941503370136400068848274
FE,158,-0.000427460955028418971054851412591,-0.000425540223686701140425380946484
FE,169,-0.000399520735739458096387547098298,-0.000397842339304726509983492245826
